neighborhood,year,category,count
Fountain Square,2006,Mediterranean,1
Fountain Square,2006,Restaurants,1
Fountain Square,2006,Greek,1
Fountain Square,2006,Arts & Entertainment,1
Fountain Square,2006,Nightlife,1
Fountain Square,2006,Bars,1
Fountain Square,2006,Music Venues,1
Fountain Square,2006,Dive Bars,1
Fountain Square,2007,Restaurants,2
Fountain Square,2007,Fast Food,1
Fountain Square,2007,Burgers,1
Fountain Square,2007,Sporting Goods,1
Fountain Square,2007,Bikes,1
Fountain Square,2007,Coffee & Tea,1
Fountain Square,2007,Shopping,3
Fountain Square,2007,Food,1
Fountain Square,2007,American (Traditional),1
Fountain Square,2007,Diners,1
Fountain Square,2007,Arts & Crafts,1
Fountain Square,2007,Hobby Shops,1
Fountain Square,2007,Knitting Supplies,1
Fountain Square,2007,Fashion,1
Fountain Square,2007,Antiques,1
Fountain Square,2008,Used,1
Fountain Square,2008,Vintage & Consignment,1
Fountain Square,2008,Thrift Stores,1
Fountain Square,2008,Fashion,1
Fountain Square,2008,Shopping,2
Fountain Square,2008,Department Stores,1
Fountain Square,2008,Books,1
Fountain Square,2008,Mags,1
Fountain Square,2008,Music & Video,1
Fountain Square,2008,Music & DVDs,1
Fountain Square,2008,Education,1
Fountain Square,2008,Local Services,1
Fountain Square,2008,Musical Instrument Services,1
Fountain Square,2008,Guitar Stores,1
Fountain Square,2008,Specialty Schools,1
Fountain Square,2008,Musical Instruments & Teachers,1
Fountain Square,2008,Thai,1
Fountain Square,2008,Restaurants,5
Fountain Square,2008,Middle Eastern,1
Fountain Square,2008,Greek,1
Fountain Square,2008,Mediterranean,1
Fountain Square,2008,Nightlife,4
Fountain Square,2008,Bars,3
Fountain Square,2008,Lounges,1
Fountain Square,2008,Venues & Event Spaces,1
Fountain Square,2008,Event Planning & Services,1
Fountain Square,2008,Pizza,1
Fountain Square,2008,Dentists,1
Fountain Square,2008,General Dentistry,1
Fountain Square,2008,Health & Medical,1
Fountain Square,2008,American (Traditional),1
Fountain Square,2008,Food,2
Fountain Square,2008,Grocery,1
Fountain Square,2008,American (New),1
Fountain Square,2008,Wine Bars,1
Fountain Square,2008,Specialty Food,1
Fountain Square,2008,Beer,1
Fountain Square,2008,Wine & Spirits,1
Fountain Square,2008,Cinema,1
Fountain Square,2008,Festivals,1
Fountain Square,2008,Arts & Entertainment,1
Fountain Square,2009,Latin American,1
Fountain Square,2009,Restaurants,4
Fountain Square,2009,Mexican,1
Fountain Square,2009,Tex-Mex,1
Fountain Square,2009,Active Life,2
Fountain Square,2009,Party & Event Planning,1
Fountain Square,2009,Event Planning & Services,1
Fountain Square,2009,Bowling,1
Fountain Square,2009,Smokehouse,1
Fountain Square,2009,Barbeque,1
Fountain Square,2009,Food,1
Fountain Square,2009,Burgers,1
Fountain Square,2009,Local Flavor,1
Fountain Square,2009,Sandwiches,1
Fountain Square,2009,Antiques,1
Fountain Square,2009,Used,1
Fountain Square,2009,Vintage & Consignment,1
Fountain Square,2009,Art Galleries,1
Fountain Square,2009,Shopping,1
Fountain Square,2009,Fashion,1
Fountain Square,2009,Arts & Entertainment,1
Fountain Square,2009,Chinese,1
Fountain Square,2009,Asian Fusion,1
Fountain Square,2009,Vegetarian,1
Fountain Square,2009,Boxing,1
Fountain Square,2009,Health & Medical,1
Fountain Square,2009,Physical Therapy,1
Fountain Square,2009,Trainers,1
Fountain Square,2009,Fitness & Instruction,1
Fountain Square,2009,Boot Camps,1
Fountain Square,2009,Pizza,1
Fountain Square,2010,Used,1
Fountain Square,2010,Vintage & Consignment,1
Fountain Square,2010,Fashion,1
Fountain Square,2010,Shopping,2
Fountain Square,2010,Restaurants,4
Fountain Square,2010,Delis,1
Fountain Square,2010,American (New),1
Fountain Square,2010,Performing Arts,1
Fountain Square,2010,Nightlife,4
Fountain Square,2010,Arts & Entertainment,1
Fountain Square,2010,Lounges,1
Fountain Square,2010,Bars,4
Fountain Square,2010,Music Venues,1
Fountain Square,2010,Beer,3
Fountain Square,2010,Wine & Spirits,3
Fountain Square,2010,Food,3
Fountain Square,2010,American (Traditional),1
Fountain Square,2010,British,1
Fountain Square,2010,Gastropubs,1
Fountain Square,2010,Cocktail Bars,3
Fountain Square,2010,Sandwiches,2
Fountain Square,2010,Vegan,1
Fountain Square,2010,Vegetarian,1
Fountain Square,2010,Mexican,1
Fountain Square,2010,Tacos,1
Fountain Square,2010,Cafes,1
Fountain Square,2010,Pool Halls,1
Fountain Square,2010,Playgrounds,1
Fountain Square,2010,Parks,1
Fountain Square,2010,Active Life,2
Fountain Square,2010,Hobby Shops,1
Fountain Square,2010,Leisure Centers,1
Fountain Square,2010,Recreation Centers,1
Fountain Square,2010,Beauty & Spas,1
Fountain Square,2010,Barbers,1
Fountain Square,2011,Photography Stores & Services,1
Fountain Square,2011,Beauty & Spas,2
Fountain Square,2011,Hair Salons,2
Fountain Square,2011,Home & Garden,1
Fountain Square,2011,Art Galleries,1
Fountain Square,2011,Day Spas,1
Fountain Square,2011,Arts & Entertainment,1
Fountain Square,2011,Shopping,4
Fountain Square,2011,Antiques,1
Fountain Square,2011,Bars,3
Fountain Square,2011,Tiki Bars,1
Fountain Square,2011,Restaurants,5
Fountain Square,2011,Nightlife,3
Fountain Square,2011,Mexican,2
Fountain Square,2011,Ice Cream & Frozen Yogurt,1
Fountain Square,2011,Fast Food,1
Fountain Square,2011,Custom Cakes,1
Fountain Square,2011,Food,4
Fountain Square,2011,Burgers,1
Fountain Square,2011,Brewing Supplies,1
Fountain Square,2011,Breweries,2
Fountain Square,2011,Local Services,1
Fountain Square,2011,Community Service/Non-Profit,1
Fountain Square,2011,Libraries,1
Fountain Square,2011,Public Services & Government,1
Fountain Square,2011,Beer,1
Fountain Square,2011,Wine & Spirits,1
Fountain Square,2011,Seafood,1
Fountain Square,2011,Peruvian,1
Fountain Square,2011,Desserts,1
Fountain Square,2011,Fashion,1
Fountain Square,2011,Department Stores,1
Fountain Square,2011,Discount Store,1
Fountain Square,2011,Gastropubs,1
Fountain Square,2012,Books,2
Fountain Square,2012,Mags,2
Fountain Square,2012,Music & Video,2
Fountain Square,2012,Local Services,2
Fountain Square,2012,Bookstores,1
Fountain Square,2012,Used Bookstore,1
Fountain Square,2012,Community Service/Non-Profit,2
Fountain Square,2012,Education,1
Fountain Square,2012,Shopping,7
Fountain Square,2012,Adult Education,1
Fountain Square,2012,Arts & Entertainment,3
Fountain Square,2012,Cultural Center,1
Fountain Square,2012,Specialty Food,1
Fountain Square,2012,Food,2
Fountain Square,2012,Ethnic Food,1
Fountain Square,2012,Tattoo,1
Fountain Square,2012,Beauty & Spas,1
Fountain Square,2012,Piercing,1
Fountain Square,2012,Sandwiches,2
Fountain Square,2012,Fast Food,1
Fountain Square,2012,Restaurants,2
Fountain Square,2012,Churches,1
Fountain Square,2012,Religious Organizations,1
Fountain Square,2012,Home Decor,1
Fountain Square,2012,Antiques,1
Fountain Square,2012,Home & Garden,1
Fountain Square,2012,Florists,1
Fountain Square,2012,Flowers & Gifts,1
Fountain Square,2012,Jewelry,1
Fountain Square,2012,Fashion,1
Fountain Square,2012,Swimwear,1
Fountain Square,2012,Women's Clothing,1
Fountain Square,2012,Used,1
Fountain Square,2012,Vintage & Consignment,1
Fountain Square,2012,Accessories,1
Fountain Square,2012,Salad,1
Fountain Square,2012,Cajun/Creole,1
Fountain Square,2012,Comic Books,1
Fountain Square,2012,Art Galleries,1
Fountain Square,2012,Coffee & Tea,1
Fountain Square,2013,Nightlife,3
Fountain Square,2013,Tapas Bars,1
Fountain Square,2013,American (New),1
Fountain Square,2013,Bars,2
Fountain Square,2013,Cocktail Bars,1
Fountain Square,2013,Food,3
Fountain Square,2013,Sandwiches,1
Fountain Square,2013,Lounges,2
Fountain Square,2013,American (Traditional),1
Fountain Square,2013,Restaurants,1
Fountain Square,2013,Breweries,1
Fountain Square,2013,Beer,1
Fountain Square,2013,Wine & Spirits,1
Fountain Square,2013,Local Flavor,1
Fountain Square,2013,Arts & Entertainment,3
Fountain Square,2013,Festivals,1
Fountain Square,2013,Music Venues,2
Fountain Square,2013,Pubs,1
Fountain Square,2013,Ice Cream & Frozen Yogurt,1
Fountain Square,2013,Shopping,2
Fountain Square,2013,Fashion,1
Fountain Square,2013,Used,1
Fountain Square,2013,Vintage & Consignment,1
Fountain Square,2013,Books,1
Fountain Square,2013,Mags,1
Fountain Square,2013,Music & Video,1
Fountain Square,2013,Local Services,1
Fountain Square,2013,Music & DVDs,1
Fountain Square,2013,Vinyl Records,1
Fountain Square,2013,Pop-up Shops,1
Fountain Square,2013,Funeral Services & Cemeteries,1
Fountain Square,2014,Southern,1
Fountain Square,2014,Restaurants,3
Fountain Square,2014,Bars,1
Fountain Square,2014,Cocktail Bars,1
Fountain Square,2014,Gastropubs,1
Fountain Square,2014,Nightlife,1
Fountain Square,2014,Beer Bar,1
Fountain Square,2014,Sporting Goods,1
Fountain Square,2014,Bikes,1
Fountain Square,2014,Local Services,2
Fountain Square,2014,Shopping,2
Fountain Square,2014,Bike Repair/Maintenance,1
Fountain Square,2014,Pets,1
Fountain Square,2014,Pet Services,1
Fountain Square,2014,Breweries,1
Fountain Square,2014,Brewing Supplies,1
Fountain Square,2014,Food,3
Fountain Square,2014,Appliances & Repair,1
Fountain Square,2014,Coffee & Tea,1
Fountain Square,2014,Bakeries,1
Fountain Square,2014,Donuts,1
Fountain Square,2014,Breakfast & Brunch,1
Fountain Square,2014,Specialty Food,1
Fountain Square,2014,Sandwiches,1
Fountain Square,2014,Grocery,1
Fountain Square,2014,Cheese Shops,1
Fountain Square,2014,Food Delivery Services,1
Fountain Square,2015,Pet Groomers,1
Fountain Square,2015,Pet Services,1
Fountain Square,2015,Pets,1
Fountain Square,2015,Veterinarians,1
Fountain Square,2015,Bakeries,1
Fountain Square,2015,Specialty Food,1
Fountain Square,2015,Food,1
Fountain Square,2015,Shopping,3
Fountain Square,2015,Desserts,1
Fountain Square,2015,Flowers & Gifts,1
Fountain Square,2015,Asian Fusion,1
Fountain Square,2015,Nightlife,3
Fountain Square,2015,Soul Food,1
Fountain Square,2015,Bars,2
Fountain Square,2015,American (New),2
Fountain Square,2015,Restaurants,4
Fountain Square,2015,Eyewear & Opticians,1
Fountain Square,2015,Health & Medical,1
Fountain Square,2015,Optometrists,1
Fountain Square,2015,Music Venues,1
Fountain Square,2015,Italian,1
Fountain Square,2015,Cocktail Bars,1
Fountain Square,2015,Arts & Entertainment,1
Fountain Square,2015,Education,1
Fountain Square,2015,Event Planning & Services,1
Fountain Square,2015,Venues & Event Spaces,1
Fountain Square,2015,Arts & Crafts,1
Fountain Square,2015,Art Classes,1
Fountain Square,2015,Pizza,1
Fountain Square,2015,Automotive,1
Fountain Square,2015,Tires,1
Fountain Square,2015,Burgers,1
Fountain Square,2015,Beer Gardens,1
Fountain Square,2015,American (Traditional),1
Fountain Square,2016,Food,3
Fountain Square,2016,Nightlife,2
Fountain Square,2016,Coffee & Tea,2
Fountain Square,2016,Beer,1
Fountain Square,2016,Wine & Spirits,1
Fountain Square,2016,Vinyl Records,1
Fountain Square,2016,Shopping,4
Fountain Square,2016,Beer Bar,1
Fountain Square,2016,Bars,1
Fountain Square,2016,Books,1
Fountain Square,2016,Mags,1
Fountain Square,2016,Music & Video,1
Fountain Square,2016,Thrift Stores,1
Fountain Square,2016,Fashion,3
Fountain Square,2016,Local Services,1
Fountain Square,2016,Used,3
Fountain Square,2016,Vintage & Consignment,3
Fountain Square,2016,Donation Center,1
Fountain Square,2016,Home & Garden,1
Fountain Square,2016,Home Decor,1
Fountain Square,2016,Hair Salons,2
Fountain Square,2016,Beauty & Spas,2
Fountain Square,2016,Makeup Artists,1
Fountain Square,2016,Barbers,1
Fountain Square,2016,Cideries,1
Fountain Square,2016,Local Flavor,1
Fountain Square,2016,Arts & Entertainment,2
Fountain Square,2016,Festivals,1
Fountain Square,2016,Flowers & Gifts,1
Fountain Square,2016,Leather Goods,1
Fountain Square,2016,Women's Clothing,1
Fountain Square,2016,Gift Shops,1
Fountain Square,2016,Men's Clothing,1
Fountain Square,2016,Venues & Event Spaces,1
Fountain Square,2016,Music Venues,1
Fountain Square,2016,Event Planning & Services,1
Fountain Square,2016,Barre Classes,1
Fountain Square,2016,Pilates,1
Fountain Square,2016,Active Life,1
Fountain Square,2016,Fitness & Instruction,1
Fountain Square,2016,Yoga,1
Fountain Square,2016,Restaurants,1
Fountain Square,2016,Mexican,1
Fountain Square,2016,Chocolatiers & Shops,1
Fountain Square,2016,Ice Cream & Frozen Yogurt,1
Fountain Square,2016,Specialty Food,1
Fountain Square,2017,Sandwiches,2
Fountain Square,2017,Restaurants,6
Fountain Square,2017,Pizza,2
Fountain Square,2017,Salad,1
Fountain Square,2017,Vegan,1
Fountain Square,2017,American (Traditional),1
Fountain Square,2017,Food,3
Fountain Square,2017,Coffee & Tea,2
Fountain Square,2017,Pets,1
Fountain Square,2017,Cafes,1
Fountain Square,2017,Pet Adoption,1
Fountain Square,2017,Roofing,1
Fountain Square,2017,Windows Installation,1
Fountain Square,2017,Plumbing,1
Fountain Square,2017,Damage Restoration,1
Fountain Square,2017,Contractors,1
Fountain Square,2017,Home Services,1
Fountain Square,2017,Beauty & Spas,2
Fountain Square,2017,Tattoo,1
Fountain Square,2017,Piercing,1
Fountain Square,2017,Professional Services,1
Fountain Square,2017,Accountants,1
Fountain Square,2017,Fashion,2
Fountain Square,2017,Shopping,2
Fountain Square,2017,Books,1
Fountain Square,2017,Mags,1
Fountain Square,2017,Music & Video,1
Fountain Square,2017,Home & Garden,2
Fountain Square,2017,Furniture Stores,1
Fountain Square,2017,Shoe Stores,1
Fountain Square,2017,Women's Clothing,2
Fountain Square,2017,Barbeque,1
Fountain Square,2017,Smokehouse,1
Fountain Square,2017,Wineries,1
Fountain Square,2017,Wine Tasting Room,1
Fountain Square,2017,Arts & Entertainment,1
Fountain Square,2017,Wine Bars,1
Fountain Square,2017,Specialty Food,1
Fountain Square,2017,Beer,1
Fountain Square,2017,Wine & Spirits,1
Fountain Square,2017,Event Planning & Services,2
